test name, construction, rendering, total
implicitSurfaces/chmutov2, 0.0014678, 0.3071573, 0.3086251
implicitSurfaces/chmutov3, 0.0005188, 2.7141162, 2.714635
implicitSurfaces/chmutov4, 0.0009395, 1.1060453, 1.1069848
implicitSurfaces/chmutov5, 0.0012581, 5.2310635, 5.2323216
implicitSurfaces/chmutov6, 0.0025703, 1.8136885, 1.8162588
meshes/icosahedron, 0.0054794, 1.6369292, 1.6424086
meshes/urn, 0.0044636, 3.1195232, 3.1239868
meshes/bunny, 0.503897, 4.1589669, 4.6628639
meshes/bunny texture, 1.1727479, 3.038947, 4.2116949
meshes/bunnyAO, 0.4666451, 63.0800231, 63.5466682
meshes/inside bunny, 0.4689892, 6.6753171, 7.1443063
meshes/bunnies small, 0.6352289, 7.8885849, 8.5238138
meshes/bunnies big, 1.3431622, 12.6735443, 14.0167065
meshes/spheres small, 0.0044547, 4.6085253, 4.61298
meshes/spheres big, 0.0087512, 6.1286525, 6.1374037
meshes/dragon, 6.654639, 3.6050631, 10.2597021
meshes/gold dragon, 6.4402966, 159.6632687, 166.1035653
meshes/happy, 8.6311082, 3.9069108, 12.538019
meshes/porsche, 0.0611023, 5.5448423, 5.6059446
meshes/horse, 0.6096952, 3.5052398, 4.114935
meshes/head, 23.5377775, 4.4863941, 28.0241716
meshes/vase, 3.0718114, 3.9634497, 7.0352611
meshes/armadillo, 8.7092017, 3.5569293, 12.266131
texture/discs, 0.0001091, 1.1767222, 1.1768313
texture/box, 1.2527236, 1.4083159, 2.6610395
texture/boxes, 0.0001601, 3.2062135, 3.2063736
texture/cylinder, 5.67E-05, 1.1548777, 1.1549344
texture/earth, 1.2220292, 1.2239788, 2.446008
texture/plane, 0.0003549, 21.0993962, 21.0997511
texture/sphere, 8.7E-05, 1.3158964, 1.3159834
texture/rectangles, 1.2218586, 2.6754294, 3.897288
texture/marble, 1.3429306, 18.5831315, 19.9260621
light/sphere front, 0.0008259, 0.2946087, 0.2954346
light/sphere top, 0.0001751, 0.2868274, 0.2870025
light/sphere front far, 0.000195, 0.3415065, 0.3417015
light/sphere top far, 0.0002266, 0.3566862, 0.3569128
light/sphere colour, 0.0010974, 0.3636725, 0.3647699
light/shadow, 0.0014029, 0.508807, 0.5102099
csg/union, 0.0023771, 0.3462907, 0.3486678
csg/union2, 0.0010898, 0.5779874, 0.5790772
csg/union3, 0.0006734, 0.3584376, 0.359111
csg/intersection, 0.0013996, 0.2660444, 0.267444
csg/subtraction, 0.0007032, 0.2904367, 0.2911399
csg/cross, 0.0019093, 0.518605, 0.5205143
csg/2dCross, 0.0004813, 0.4370272, 0.4375085
csg/cylinderX, 0.0006146, 0.3251278, 0.3257424
csg/cylinderY, 0.0006198, 0.3202286, 0.3208484
csg/cylinderZ, 0.0005384, 0.3471629, 0.3477013
csg/box, 0.0006616, 0.2785496, 0.2792112
csg/sphere, 0.0007771, 0.2824005, 0.2831776
csg/intersection2, 0.0004827, 0.2983631, 0.2988458
csg/lantern, 0.0005602, 0.4281344, 0.4286946
csg/lantern2, 0.0010193, 0.4925725, 0.4935918
csg/unionTorus, 0.0490632, 3.5979909, 3.6470541
csg/intersectTorus, 0.0059782, 1.6343148, 1.640293
csg/subtractTorus, 0.0046952, 2.1294421, 2.1341373
csg/unionTorus2, 0.0054038, 3.6056318, 3.6110356
csg/intersectTorus2, 0.0046513, 1.8519862, 1.8566375
ambientOcclusion/ao_sphere_regular_1, 0.0008136, 0.7970108, 0.7978244
ambientOcclusion/ao_sphere_regular_4, 6.83E-05, 3.1634014, 3.1634697
ambientOcclusion/ao_sphere_regular_16, 3.96E-05, 16.0267766, 16.0268162
ambientOcclusion/ao_sphere_regular_64, 5.43E-05, 63.6133037, 63.613358
ambientOcclusion/ao_sphere_regular_256, 0.0002618, 259.5671223, 259.5673841
ambientOcclusion/ao_sphere_random_1, 0.0002378, 0.7605043, 0.7607421
ambientOcclusion/ao_sphere_random_4, 0.0003413, 3.3354484, 3.3357897
ambientOcclusion/ao_sphere_random_16, 0.0006253, 15.5029662, 15.5035915
ambientOcclusion/ao_sphere_random_64, 0.0023111, 65.9543178, 65.9566289
ambientOcclusion/ao_sphere_random_256, 0.0091055, 256.5022606, 256.5113661
ambientOcclusion/ao_sphere_jittered_1, 0.0002065, 0.7924441, 0.7926506
ambientOcclusion/ao_sphere_jittered_4, 0.0001803, 3.1295367, 3.129717
ambientOcclusion/ao_sphere_jittered_16, 0.000657, 14.7693731, 14.7700301
ambientOcclusion/ao_sphere_jittered_64, 0.0021209, 62.9078775, 62.9099984
ambientOcclusion/ao_sphere_jittered_256, 0.0087379, 256.8413326, 256.8500705
ambientOcclusion/ao_sphere_nrooks_1, 0.0002208, 0.7213359, 0.7215567
ambientOcclusion/ao_sphere_nrooks_4, 0.0002826, 3.3421979, 3.3424805
ambientOcclusion/ao_sphere_nrooks_16, 0.0006974, 14.8419538, 14.8426512
ambientOcclusion/ao_sphere_nrooks_64, 0.0021847, 63.2875394, 63.2897241
ambientOcclusion/ao_sphere_nrooks_256, 0.0094462, 249.7837481, 249.7931943
ambientOcclusion/ao_sphere_multi_jittered_1, 0.0002071, 0.7848468, 0.7850539
ambientOcclusion/ao_sphere_multi_jittered_4, 0.0008646, 3.5475014, 3.548366
ambientOcclusion/ao_sphere_multi_jittered_16, 0.00066, 15.3259864, 15.3266464
ambientOcclusion/ao_sphere_multi_jittered_64, 0.0022012, 61.8946194, 61.8968206
ambientOcclusion/ao_sphere_multi_jittered_256, 0.0086032, 252.8845317, 252.8931349
meshes grid/icosahedron, 0.0085861, 1.6023387, 1.6109248
meshes grid/urn, 0.0067043, 2.4141438, 2.4208481
meshes grid/bunny, 0.3313417, 3.8441457, 4.1754874
meshes grid/bunny texture, 0.3647116, 2.4217949, 2.7865065
meshes grid/bunnyAO, 0.3259662, 63.0767924, 63.4027586
meshes grid/inside bunny, 0.3008168, 6.0689727, 6.3697895
meshes grid/bunnies small, 0.4724259, 10.108839, 10.5812649
meshes grid/bunnies big, 1.1151071, 12.0385935, 13.1537006
